Object Name,Text - Description,,,,,,,,,,,,,,,,,,,,
/PF1/PI,Authorization Object: Payment Item.,,,,,,,,,,,,,,,,,,,,
/PF1/PI_TL,Authorization Object: Payment Item Template,,,,,,,,,,,,,,,,,,,,
/PF1/PO,Authorization Object: Payment Order,,,,,,,,,,,,,,,,,,,,
/PF1/POLLR,Authorization Object: Poller report,,,,,,,,,,,,,,,,,,,,
/PF1/PO_TL,Authorization Object: Payment Order Template,,,,,,,,,,,,,,,,,,,,
/PF1/PPF,Authorization Object: Parallel processing,,,,,,,,,,,,,,,,,,,,
/PF1/QUCCT,Check Clearing Times for Queuing Collector,,,,,,,,,,,,,,,,,,,,
/PF1/QUEUE,Authorization Object: Queuing Collector,,,,,,,,,,,,,,,,,,,,
/PF1/RAG,Authorization Object: Request Agents,,,,,,,,,,,,,,,,,,,,
/PF1/RD,Authorization object for uploading/changing reference data,,,,,,,,,,,,,,,,,,,,
/PF1/RECA2,Authorization Object: Recall V2,,,,,,,,,,,,,,,,,,,,
/PF1/REP_P,Authorisation object for Asyn reply poller,,,,,,,,,,,,,,,,,,,,
/PF1/RORS,,,,,,,,,,,,,,,,,,,,,
/PF1/ROUTE,,,,,,,,,,,,,,,,,,,,,
/PF1/SLA,Authorization object for SLA,,,,,,,,,,,,,,,,,,,,
/PF1/UPLOA,Authorization Object: Upload Orders,,,,,,,,,,,,,,,,,,,,
/PF1/VA,,,,,,,,,,,,,,,,,,,,,
/PF1/VAHLP,Authorization object: Value help of UI5,,,,,,,,,,,,,,,,,,,,
/PF1/VARS,,,,,,,,,,,,,,,,,,,,,
/PF1/VARSR,Authorization Object: Rules for Value Agreement Search,,,,,,,,,,,,,,,,,,,,
/PM0/ABACT,FS-PM: Action,,,,,,,,,,,,,,,,,,,,
/PM0/ABBTX,FS-PM: Business Transaction,,,,,,,,,,,,,,,,,,,,
/PM0/ABCHA,FS-PM: Amounts,,,,,,,,,,,,,,,,,,,,
/PM0/ABCHR,FS-PM: Replacement Business,,,,,,,,,,,,,,,,,,,,
/PM0/ABCHZ,FS-PM: Postal Codes,,,,,,,,,,,,,,,,,,,,
/PM0/ABCOR,FS-PM: Correspondence - Documents,,,,,,,,,,,,,,,,,,,,
/PM0/ABCRE,FS-PM: Correspondence - Copies,,,,,,,,,,,,,,,,,,,,
/PM0/ABEXA,FS-PM: External Applications,,,,,,,,,,,,,,,,,,,,
/PM0/ABFPM,FS-PM: Check for Floor Plan Manager Applications,,,,,,,,,,,,,,,,,,,,
/PM0/ABPST,FS-PM: Balance Delimitation,,,,,,,,,,,,,,,,,,,,
/PM0/ALASM,FS-PM: Assessment of Unit-Linked Annuity Insurance Benefit B,,,,,,,,,,,,,,,,,,,,
/PM0/ALCHR,FS-PM: Charges,,,,,,,,,,,,,,,,,,,,
/PM0/ALFND,FS-PM Fund Management,,,,,,,,,,,,,,,,,,,,
/PM0/ALFSV,FS-PM: Financial Service,,,,,,,,,,,,,,,,,,,,
/PM0/APLF,Authorization for Automatic Premium Loan Financing (APLF),,,,,,,,,,,,,,,,,,,,
/PM0/APMPG,FS-PM: Sales Products,,,,,,,,,,,,,,,,,,,,
/PM0/ATADS,Check Tool: Authorization for Data Source,,,,,,,,,,,,,,,,,,,,
