Client,ROLE,MASTER_ROLE,DESC
900,ZSG_MM_PR.PRO_202,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (APCR/1810)
900,ZSG_MM_PR.PRO_203,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (SCPW/1808)
900,ZSG_MM_PR.PRO_205,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (VISM/1803)
900,ZSG_MM_PR.PRO_206,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (VISV/1803)
900,ZSG_MM_PR.PRO_208,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (LEAC/1801)
900,ZSG_MM_PR.PRO_209,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (LERM/1811)
900,ZSG_MM_PR.PRO_210,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (LEHE/1801)
900,ZSG_MM_PR.PRO_213,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (PVSM/1802)
900,ZSG_MM_PR.PRO_214,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (PVPS/1802)
900,ZSG_MM_PR.PRO_215,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (JTSM/1802)
900,ZSG_MM_PR.PRO_218,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (FIAS/1806)
900,ZSG_MM_PR.PRO_219,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (FIAP/1806)
900,ZSG_MM_PR.PRO_220,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (FLVS/1807)
900,ZSG_MM_PR.PRO_221,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (FNSM/1805)
900,ZSG_MM_PR.PRO_222,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (FNSV/1805)
900,ZSG_MM_PR.PRO_223,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (FMSM/1809)
900,ZSG_MM_PR.PRO_224,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (FMSV/1809)
900,ZSG_MM_PR.PRO_225,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (FASV/1804)
900,ZSG_MM_PR.PRO_226,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (ITSS/1812)
900,ZSG_MM_PR.PRO_229,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (TS/1813)
