ECC_ROLE,MASTER_ROLE,S4_DERIVED_ROLE
ZSG_MM_PO.APPLV1_229,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_872
ZSG_MM_TO.PRO_213,ZSG_MM_TO.PRO_XXX,ZSG_MM_TO.PRO_872
ZSG_MM_TO.PRO_214,ZSG_MM_TO.PRO_XXX,ZSG_MM_TO.PRO_872
ZSG_SD_BL.REQCNC_213,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_872
ZSG_SD_BL.REQCNC_214,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_872
ZSG_SD_CMIR.DSP_213,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_872
ZSG_SD_CMIR.DSP_214,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_872
ZSG_SD_CMIR.DSP_229,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_872
ZSG_SD_COND.ADM_213,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_872
ZSG_SD_COND.ADM_214,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_872
ZSG_SD_COND.ADM_229,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_872
ZSG_SD_COND.DSP_213,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_872
ZSG_SD_COND.DSP_214,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_872
ZSG_SD_COND.DSP_229,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_872
ZSG_SD_LC.PRO_213,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_872
ZSG_SD_LC.PRO_214,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_872
ZSG_SD_LC.PRO_229,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_872
ZSG_SD_LC.PRO_230,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_872
ZSG_SD_SO.APPSB_229,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_872
ZSG_MM_LO.PRO-TRSMTM_208,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_812
ZSG_MM_LO.PRO-TRSMTM_209,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_813
ZSG_MM_LO.PRO-TRSMTM_210,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_815
ZSG_MM_LO.PRO-TRSMTM_215,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_815
ZSG_MM_LO.PRO-TRSSP_208,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_812
ZSG_MM_LO.PRO-TRSSP_209,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_813
ZSG_MM_LO.PRO-TRSSP_210,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_815
ZSG_MM_LO.PRO-TRSSP_215,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_815
ZSG_MM_LO.PRO-TRS_208_FA,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_812_FA
ZSG_MM_LO.PRO-TRS_208_PV,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_812_PV
ZSG_MM_LO.PRO-TRS_209_FA,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_813_FA
ZSG_MM_LO.PRO-TRS_209_PV,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_813_PV
ZSG_MM_LO.PRO-TRS_210_FA,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_815_FA
ZSG_MM_LO.PRO-TRS_210_PV,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_815_PV
ZSG_MM_MM.ECP_208,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_812
ZSG_MM_MM.ECP_209,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_813
ZSG_MM_MM.ECP_210,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_815
ZSG_CO_OM.IOADM_XXX,ZSG_CO_OM.IOADM_XXX,ZSG_CO_OM.IOADM_XXX
ZSG_FI_AP.VENCFM,ZSG_FI_AP.VENCFM,ZSG_FI_AP.VENCFM
ZSG_FI_GLCLS.PRO,ZSG_FI_GLCLS.PRO,ZSG_FI_GLCLS.PRO
ZSG_MM_PO.APPLV1_208,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_812
ZSG_MM_PO.APPLV1_209,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_813
ZSG_MM_PO.APPLV1_210,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_815
ZSG_MM_PO.APPLV1_214,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_872
ZSG_MM_PO.APPLV1_215,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_815
ZSG_SD_BL.REQCNC_104,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_615
ZSG_SD_COND.ADM_203,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_861
ZSG_MM_LA.PRO_208,ZSG_MM_LA.PRO_XXX,ZSG_MM_LA.PRO_812
ZSG_MM_LA.PRO_209,ZSG_MM_LA.PRO_XXX,ZSG_MM_LA.PRO_813
ZSG_MM_LA.PRO_210,ZSG_MM_LA.PRO_XXX,ZSG_MM_LA.PRO_815
ZSG_SD_CM.ADM,ZSG_SD_CM.ADM,ZSG_SD_CM.ADM
ZSG_SD_COND.ADM_208,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_812
ZSG_SD_COND.ADM_209,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_813
ZSG_SD_COND.ADM_210,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_815
ZSG_FI_AP.VENADM,ZSG_FI_AP.VENADM,ZSG_FI_AP.VENADM
ZSG_SD_SO.APPCL_ADMIN,ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_ADMIN
ZSG_BS_UT.DSP_245,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_911
ZSG_MM_MM.PRO_245,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_911
ZSG_SD_BL.PRO_245,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_911
ZSG_SD_BL.REQCNC_245,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_911
ZSG_SD_SO.PRO_245,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_911
ZSG_MM_MM.ECP_203,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_861
ZSG_SD_LC.PRO_203,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_861
ZSG_SD_SO.APPSB_214,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_872
ZSG_BS_UT.DSP_213,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_872
ZSG_FI_GL.SDSP_213,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_872
ZSG_FI_GL.SDSP_214,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_872
ZSG_FI_GL.SDSP_232,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_872
ZSG_MM_LA.PRO_232,ZSG_MM_LA.PRO_XXX,ZSG_MM_LA.PRO_872
ZSG_MM_LO.PRO-TRSMTM_232,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_872
ZSG_MM_LO.PRO-TRSMTM_REV_232,ZSG_MM_LO.PRO-TRSMTM_REV_XXX,ZSG_MM_LO.PRO-TRSMTM_REV_872
ZSG_MM_LO.PRO-TRSSP_232,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_872
ZSG_MM_LO.PRO-TRS_232,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_872
ZSG_MM_MM.ECP_232,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_872
ZSG_MM_MM.GPSI_213,ZSG_MM_MM.GPSI_XXX,ZSG_MM_MM.GPSI_872
ZSG_MM_MM.GPSI_214,ZSG_MM_MM.GPSI_XXX,ZSG_MM_MM.GPSI_872
ZSG_SD_COND.ADM_232,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_872
ZSG_SD_COND.DSP_232,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_872
ZSG_MM_LO.PRO-TRV_XXX,ZSG_MM_LO.PRO-TRV_XXX,ZSG_MM_LO.PRO-TRV_XXX
ZSG_BS_UT.DSP_214,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_872
ZSG_MM_LO.PRO-GI.CANCEL_229,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_872
ZSG_MM_LO.PRO-GI_229,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_872
ZSG_MM_LO.PRO-GR_229,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_872
ZSG_MM_LO.PRO-TRS_229,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_872
ZSG_MM_MM.GPSI_232,ZSG_MM_MM.GPSI_XXX,ZSG_MM_MM.GPSI_872
ZSG_MM_MM.PRO_229,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_872
ZSG_MM_MM.PRO_230,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_872
ZSG_MM_MM.PRO_232,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_872
ZSG_MM_PI.ENTER_213,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_872
ZSG_MM_PI.ENTER_214,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_872
ZSG_MM_PI.ENTER_229,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_872
ZSG_MM_PI.ENTER_232,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_872
ZSG_MM_PO.PRO_213,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_872
ZSG_MM_PO.PRO_214,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_872
ZSG_MM_PO.PRO_229,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_872
ZSG_MM_PO.PRO_232,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_872
ZSG_MM_PR.PRO_232,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_872
ZSG_MM_TO.PRO_232,ZSG_MM_TO.PRO_XXX,ZSG_MM_TO.PRO_872
ZSG_SD_BL.PRO_213,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_872
ZSG_SD_BL.PRO_214,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_872
ZSG_SD_BL.PRO_229,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_872
ZSG_SD_BL.PRO_230,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_872
ZSG_SD_BL.PRO_232,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_872
ZSG_SD_BL.REQCNC_229,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_872
ZSG_SD_BL.REQCNC_230,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_872
ZSG_SD_BL.REQCNC_232,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_872
ZSG_SD_CMIR.ADM_213,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_872
ZSG_SD_CMIR.ADM_214,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_872
ZSG_SD_CMIR.ADM_229,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_872
ZSG_SD_CMIR.ADM_230,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_872
ZSG_SD_CMIR.ADM_232,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_872
ZSG_SD_CMIR.DSP_230,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_872
ZSG_SD_CMIR.DSP_232,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_872
ZSG_SD_DO.PRO_213,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_872
ZSG_SD_DO.PRO_214,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_872
ZSG_SD_DO.PRO_229,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_872
ZSG_SD_DO.PRO_232,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_872
ZSG_SD_LC.PRO_232,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_872
ZSG_SD_QT.PRO_213,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_872
ZSG_SD_QT.PRO_214,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_872
ZSG_SD_QT.PRO_232,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_872
ZSG_SD_SO.PRO_213,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_872
ZSG_SD_SO.PRO_214,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_872
ZSG_SD_SO.PRO_229,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_872
ZSG_SD_SO.PRO_230,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_872
ZSG_SD_SO.PRO_232,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_872
ZSG_AL_LO.PRO_YUSEN_208,ZSG_AL_LO.PRO_YUSEN_XXX,ZSG_AL_LO.PRO_YUSEN_812
ZSG_AL_LO.PRO_YUSEN_209,ZSG_AL_LO.PRO_YUSEN_XXX,ZSG_AL_LO.PRO_YUSEN_813
ZSG_AL_LO.PRO_YUSEN_210,ZSG_AL_LO.PRO_YUSEN_XXX,ZSG_AL_LO.PRO_YUSEN_815
ZSG_AL_LO.PRO_YUSEN_213,ZSG_AL_LO.PRO_YUSEN_XXX,ZSG_AL_LO.PRO_YUSEN_872
ZSG_AL_LO.PRO_YUSEN_214,ZSG_AL_LO.PRO_YUSEN_XXX,ZSG_AL_LO.PRO_YUSEN_872
ZSG_AL_LO.PRO_YUSEN_215,ZSG_AL_LO.PRO_YUSEN_XXX,ZSG_AL_LO.PRO_YUSEN_815
ZSG_AL_LO.PRO_YUSEN_218,ZSG_AL_LO.PRO_YUSEN_XXX,ZSG_AL_LO.PRO_YUSEN_833
ZSG_AL_LO.PRO_YUSEN_219,ZSG_AL_LO.PRO_YUSEN_XXX,ZSG_AL_LO.PRO_YUSEN_835
ZSG_AL_LO.PRO_YUSEN_220,ZSG_AL_LO.PRO_YUSEN_XXX,ZSG_AL_LO.PRO_YUSEN_833
ZSG_AL_LO.PRO_YUSEN_221,ZSG_AL_LO.PRO_YUSEN_XXX,ZSG_AL_LO.PRO_YUSEN_833
ZSG_AL_LO.PRO_YUSEN_223,ZSG_AL_LO.PRO_YUSEN_XXX,ZSG_AL_LO.PRO_YUSEN_833
ZSG_AL_LO.PRO_YUSEN_232,ZSG_AL_LO.PRO_YUSEN_XXX,ZSG_AL_LO.PRO_YUSEN_872
ZSG_MM_LO.PRO-GI_222,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_836
ZSG_MM_LO.PRO-GI_224,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_837
ZSG_MM_LO.PRO-GR_222,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_836
ZSG_MM_LO.PRO-GR_224,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_837
