ECC_ROLE,MASTER_ROLE,S4_DERIVED_ROLE
ZSG_MM_LA.PRO_221,ZSG_MM_LA.PRO_XXX,ZSG_MM_LA.PRO_833
ZSG_MM_MM.DSP_GSCM,ZSG_MM_MM.DSP_GSCM_XXX,ZSG_MM_MM.DSP_GSCM
ZSG_MM_MM.GPSI_216,ZSG_MM_MM.GPSI_XXX,ZSG_MM_MM.GPSI_831
ZSG_MM_PO.COND_DSP_GSCM,ZSG_MM_PO.COND_DSP_GSCM_XXX,ZSG_MM_PO.COND_DSP_GSCM
ZSG_MM_PO.DSP_218,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_833
ZSG_MM_PO.DSP_219,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_835
ZSG_MM_PO.DSP_220,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_833
ZSG_MM_PO.DSP_221,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_833
ZSG_MM_PO.DSP_222,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_836
ZSG_MM_PO.DSP_223,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_833
ZSG_MM_PO.DSP_224,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_837
ZSG_MM_PO.DSP_225,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_838
ZSG_MM_PO.DSP_GSCM,ZSG_MM_PO.DSP_GSCM_XXX,ZSG_MM_PO.DSP_GSCM
ZSG_MM_PO.PRT_218,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_833
ZSG_MM_PO.PRT_219,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_835
ZSG_MM_PO.PRT_220,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_833
ZSG_MM_PO.PRT_221,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_833
ZSG_MM_PO.PRT_222,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_836
ZSG_MM_PO.PRT_223,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_833
ZSG_MM_PO.PRT_224,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_837
ZSG_MM_PO.PRT_225,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_838
ZSG_MM_PO.SP_DSP_GSCM_218,ZSG_MM_PO.SP_DSP_GSCM_XXX,ZSG_MM_PO.SP_DSP_GSCM_833
ZSG_MM_PO.SP_DSP_GSCM_219,ZSG_MM_PO.SP_DSP_GSCM_XXX,ZSG_MM_PO.SP_DSP_GSCM_835
ZSG_MM_PO.SP_DSP_GSCM_220,ZSG_MM_PO.SP_DSP_GSCM_XXX,ZSG_MM_PO.SP_DSP_GSCM_833
ZSG_MM_PO.SP_DSP_GSCM_221,ZSG_MM_PO.SP_DSP_GSCM_XXX,ZSG_MM_PO.SP_DSP_GSCM_833
ZSG_MM_PR.DSP_218,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_833
ZSG_MM_PR.DSP_219,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_835
ZSG_MM_PR.DSP_220,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_833
ZSG_MM_PR.DSP_221,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_833
ZSG_MM_PR.DSP_222,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_836
ZSG_MM_PR.DSP_223,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_833
ZSG_MM_PR.DSP_224,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_837
ZSG_MM_PR.DSP_225,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_838
ZSG_SD_BL.DSP_218,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_833
ZSG_SD_BL.DSP_219,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_835
ZSG_SD_BL.DSP_220,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_833
ZSG_SD_BL.DSP_221,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_833
ZSG_SD_BL.DSP_222,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_836
